plotSimWnum,fitSpec
44332.9,107.71542718164
44333,104.243061484112
44333.1,101.121316044706
44333.2,98.3140064392832
44333.3,95.7804647591776
44333.4,93.4787325103824
44333.5,91.3688505466411
44333.6,89.416040933087
44333.7,87.5771229926724
44333.8,85.9038704517472
44333.9,84.2560438688395
44334,82.7109595209371
44334.1,81.295671016995
44334.2,80.0307801353882
44334.3,78.938165585362
44334.4,78.040177973623
44334.5,77.3580645667465
44334.6,76.9108959187498
44334.7,76.7150062732389
44334.8,76.7835168862607
44334.9,77.1262218709884
44335,77.7493561483551
44335.1,78.6551282969022
44335.2,79.8408569525423
44335.3,81.2976445982571
44335.4,83.0091023986703
44335.5,84.9487515965144
44335.6,87.0782179762872
44335.7,89.3452695031034
44335.8,91.6814152960644
44335.9,93.9938469892306
44336,96.1623847627166
44336.1,98.1058386270132
44336.2,99.7738184016241
44336.3,101.00704662704
44336.4,101.719718897914
44336.5,101.825791554743
44336.6,101.098398434021
44336.7,99.7511990859555
44336.8,97.8400766864025
44336.9,95.4536820611944
44337,92.6982987308533
44337.1,89.6810750156199
44337.2,86.50559027634
44337.3,83.2668275809983
44337.4,80.0457843054756
44337.5,76.9078508904294
44337.6,73.9028276277461
44337.7,71.0662509313943
44337.8,68.421461703587
44337.9,65.9819451266208
44338,63.7536295830085
44338.1,61.7368554583215
44338.2,59.9365598054474
44338.3,58.3587327145723
44338.4,56.9537484219229
44338.5,55.7292909842143
44338.6,54.6751948157313
44338.7,53.747992650444
44338.8,53.0132761811615
44338.9,52.4633302663356
44339,52.067036266302
44339.1,51.8204410108647
44339.2,51.7206759099238
44339.3,51.7659665009001
44339.4,51.9556236249639
44339.5,52.2900172174901
44339.6,52.7705353158251
44339.7,53.4163856912635
44339.8,54.2302248174309
44339.9,55.2143758434307
44340,56.3255052413837
44340.1,57.5883833701349
44340.2,59.0185917235437
44340.3,60.6213619309389
44340.4,62.3990510582133
44340.5,64.3517681642446
44340.6,66.4763077697724
44340.7,68.7650925922609
44340.8,71.2047893363384
44340.9,73.7752764871756
44341,76.4488028726438
44341.1,79.1897739403826
44341.2,81.955519753579
44341.3,84.6985147584235
44341.4,87.3693089268257
44341.5,89.9217101805861
44341.6,92.3181387525617
44341.7,94.5179100932906
44341.8,96.4506315833998
44341.9,98.2093736394932
44342,99.8151249685919
44342.1,101.356637933773
44342.2,102.91133795063
44342.3,104.557627400522
44342.4,106.430521659604
44342.5,108.526461079012
44342.6,110.909620195051
44342.7,113.659066231688
44342.8,116.83110847529
44342.9,120.465468026427
44343,124.590063200232
44343.1,129.220264888962
44343.2,134.356980285994
44343.3,139.984831323504
44343.4,146.069376065353
44343.5,152.554409407567
44343.6,159.359190812649
44343.7,166.377837711664
44343.8,173.480267292558
44343.9,180.515611095105
44344,187.317397393744
44344.1,193.70783988985
44344.2,199.464608191559
44344.3,204.477707241534
44344.4,208.711961550652
44344.5,212.121990345864
44344.6,214.358279204938
44344.7,215.81252939953
44344.8,216.615743363815
44344.9,216.886328376952
44345,216.739688613196
44345.1,216.27060162741
44345.2,215.539693670205
44345.3,214.566009432043
44345.4,213.326500189067
44345.5,211.762188621891
44345.6,209.78591301948
44345.7,207.205405076929
44345.8,203.922874048187
44345.9,200.124716216938
44346,195.57547054081
44346.1,190.233364376826
44346.2,184.383270107954
44346.3,178.143951477431
44346.4,171.656482969142
44346.5,165.067030698048
44346.6,158.516531142128
44346.7,152.131313388004
44346.8,146.017117329798
44346.9,140.256102929481
44347,134.906159455147
44347.1,130.002809374319
44347.2,125.56163697596
44347.3,121.580501362502
44347.4,118.038835347461
44347.5,114.900813425156
44347.6,112.148993741674
44347.7,109.771213718944
44347.8,107.705031133138
44347.9,105.91541171272
44348,104.372876390297
44348.1,103.020777145459
44348.2,101.854006766812
44348.3,100.905949303058
44348.4,100.186116927918
44348.5,99.7084287368416
44348.6,99.4837922237754
44348.7,99.4947288063551
44348.8,99.9219826879353
44348.9,100.546008799117
44349,101.415247080248
44349.1,102.509924521716
44349.2,103.784300794485
44349.3,105.171838755017
44349.4,106.587379458949
44349.5,107.929898809784
44349.6,109.086968712145
44349.7,109.942336213072
44349.8,110.385681240272
44349.9,110.323149543202
44350,109.649326772943
